ingredient,calories_per_g,fat_per_g,carbs_per_g,protein_per_g,fiber_per_g,source,usda_fdc_id,usda_description,csv_calories_per100g,usda_calories_per100g,calorie_diff_pct,reason
lima beans,1.15,0.004,0.209,0.079,0.07,usda,173802,"Lima beans, large, mature seeds, cooked, boiled, with salt",115.0,115,0.0%,
lobster,0.89,0.005,0.005,0.192,0.0,usda,174209,"Crustaceans, lobster, northern, cooked, moist heat",89.0,89.0,0.0%,
macadamia nuts,7.18,0.758,0.138,0.079,0.086,usda,170178,"Nuts, macadamia nuts, raw",718.0,718,0.0%,
macaroni,1.57,0.009,0.309,0.058,0.018,usda,173342,"Macaroni and cheese, frozen entree",157.0,149,5.1%,
macaroni and cheese,1.64,0.076,0.185,0.074,0.009,usda,173342,"Macaroni and cheese, frozen entree",164.0,149,9.1%,
mackerel,2.05,0.137,0.0,0.189,0.0,usda,175119,"Fish, mackerel, Atlantic, raw",205.0,205,0.0%,
mahi mahi,0.85,0.007,0.0,0.185,0.0,usda,2747658,"Mahi mahi, frozen, wild caught",85.0,83.7,1.5%,
mandarin oranges,0.53,0.003,0.134,0.008,0.018,usda,174854,"Beverages, carbonated, orange",53.0,48.0,9.4%,
maple syrup,2.6,0.001,0.67,0.0,0.0,usda,169661,"Syrups, maple",260.0,260,0.0%,
marshmallows,3.18,0.002,0.812,0.016,0.001,usda,167995,"Candies, marshmallows",318.0,318,0.0%,
mayonnaise,6.8,0.749,0.006,0.01,0.0,usda,171009,"Salad dressing, mayonnaise, regular",680.0,680,0.0%,
meatballs,2.21,0.114,0.072,0.182,0.005,usda,170709,"Fast foods, submarine sandwich, meatball marinara on white bread",221.0,219,0.9%,
mexican cheese,3.63,0.286,0.032,0.235,0.0,usda,173437,"Cheese, mexican, queso asadero",363.0,356,1.9%,
milk shakes,1.12,0.037,0.172,0.034,0.002,usda,170884,"Milk shakes, thick vanilla",112.0,112,0.0%,
millet,1.19,0.01,0.237,0.035,0.013,usda,168871,"Millet, cooked",119.0,119,0.0%,
mixed nuts,6.07,0.538,0.212,0.203,0.067,usda,169427,"Nuts, mixed nuts, oil roasted, with peanuts, lightly salted",607.0,607,0.0%,
mixed vegetables,0.65,0.003,0.134,0.026,0.04,usda,170472,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",65.0,65.0,0.0%,
mozzarella cheese,3.0,0.222,0.022,0.222,0.0,usda,170845,"Cheese, mozzarella, whole milk",300.0,299,0.3%,
muenster cheese,3.68,0.302,0.012,0.234,0.0,usda,172176,"Cheese, brick",368.0,371,0.8%,
muffins,3.4,0.103,0.559,0.055,0.018,usda,175004,"Muffins, corn, toaster-type",340.0,346,1.8%,
multigrain bread,2.65,0.044,0.46,0.107,0.058,usda,171852,"Bagels, multigrain",265.0,241,9.1%,
mussels,1.72,0.045,0.074,0.239,0.0,usda,174217,"Mollusks, mussel, blue, cooked, moist heat",172.0,172,0.0%,
mustard,0.6,0.034,0.054,0.037,0.032,usda,172234,"Mustard, prepared, yellow",60.0,60.0,0.0%,
mustard greens,0.27,0.004,0.047,0.028,0.032,usda,169256,"Mustard greens, raw",27.0,27.0,0.0%,
naan,2.9,0.06,0.502,0.089,0.021,usda,171845,"Bread, naan, plain, commercially prepared, refrigerated",290.0,291,0.3%,
nachos,3.06,0.164,0.318,0.083,0.03,usda,168863,"Snacks, tortilla chips, low fat, made with olestra, nacho cheese",306.0,318,3.9%,
nectar,0.58,0.001,0.142,0.003,0.002,usda,169107,"Papaya nectar, canned",58.0,57.0,1.7%,
nectarines,0.44,0.003,0.108,0.011,0.017,usda,169914,"Nectarines, raw",44.0,44.0,0.0%,
noodles,1.38,0.023,0.253,0.048,0.012,usda,169732,"Noodles, egg, enriched, cooked",138.0,138,0.0%,
nopales,0.16,0.001,0.034,0.013,0.022,usda,168571,"Nopales, raw",16.0,16.0,0.0%,
nutrition bars,3.94,0.13,0.545,0.15,0.05,usda,173550,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber",394.0,413,4.8%,
nuts,6.07,0.538,0.212,0.203,0.067,usda,2515374,"Nuts, cashew nuts, raw",607.0,565,6.9%,
oats,3.89,0.069,0.661,0.169,0.109,usda,2261421,"Flour, oat, whole grain",389.0,389,0.0%,
octopus,0.82,0.01,0.022,0.149,0.0,usda,174218,"Mollusks, octopus, common, raw",82.0,82.0,0.0%,
oil,8.84,1.0,0.0,0.0,0.0,usda,172336,"Oil, canola",884.0,884,0.0%,
okra,0.33,0.002,0.072,0.019,0.032,usda,169260,"Okra, raw",33.0,33.0,0.0%,
olive oil,8.84,1.0,0.0,0.0,0.0,usda,167737,"Oil, corn, peanut, and olive",884.0,884,0.0%,
olives,1.15,0.108,0.061,0.008,0.032,usda,168085,"OLIVE GARDEN, spaghetti with meat sauce",115.0,121,5.2%,
omelets,1.54,0.103,0.016,0.108,0.003,usda,172185,"Egg, whole, cooked, omelet",154.0,154,0.0%,
onion rings,3.32,0.177,0.383,0.043,0.019,usda,169021,"CRACKER BARREL, onion rings, thick-cut",332.0,327,1.5%,
orange,0.47,0.001,0.118,0.009,0.024,usda,174854,"Beverages, carbonated, orange",47.0,48.0,2.1%,
orange juice,0.45,0.002,0.103,0.007,0.002,usda,170961,"Babyfood, juice, orange and apricot",45.0,46.0,2.2%,
orange with peel,0.47,0.001,0.118,0.009,0.024,usda,167749,"Lemon peel, raw",47.0,47.0,0.0%,
oysters,0.81,0.026,0.037,0.091,0.0,usda,174219,"Mollusks, oyster, Pacific, raw",81.0,81.0,0.0%,
pancakes,2.27,0.065,0.375,0.06,0.012,usda,175047,"Pancakes, buttermilk, prepared from recipe",227.0,227,0.0%,
papayas,0.43,0.003,0.109,0.005,0.017,usda,169926,"Papayas, raw",43.0,43.0,0.0%,
parmesan cheese,4.31,0.286,0.033,0.381,0.0,usda,173431,"Cheese, parmesan, shredded",431.0,415,3.7%,
parsnips,0.75,0.003,0.18,0.012,0.049,usda,170508,"Parsnips, cooked, boiled, drained, with salt",75.0,71.0,5.3%,
pasta,1.31,0.012,0.25,0.051,0.018,usda,169728,"Pasta, fresh-refrigerated, plain, cooked",131.0,131,0.0%,
pasta sauce,0.56,0.016,0.089,0.018,0.021,usda,172266,"Babyfood, dinner, pasta with vegetables",56.0,60.0,7.1%,
pastrami,1.33,0.051,0.018,0.195,0.0,usda,172927,"Pastrami, turkey",133.0,139,4.5%,
pastries,4.18,0.225,0.482,0.058,0.013,usda,172753,"Danish pastry, cinnamon, enriched",418.0,403,3.6%,
pate nutrition,3.19,0.281,0.011,0.145,0.0,usda,172930,"Pate, liver, not specified, canned",319.0,319,0.0%,
peanut butter,5.88,0.503,0.2,0.252,0.06,usda,169869,"Peanut butter, reduced sodium",588.0,590,0.3%,
peanuts,5.67,0.492,0.161,0.258,0.085,usda,172434,"Peanuts, virginia, raw",567.0,563,0.7%,
pears,0.57,0.001,0.152,0.004,0.031,usda,746773,"Pears, raw, bartlett",57.0,57.0,0.0%,
peas,0.81,0.004,0.144,0.054,0.051,usda,170419,"Peas, green, raw",81.0,81.0,0.0%,
pecan pie,4.07,0.204,0.526,0.046,0.022,usda,172786,"Pie, pecan, prepared from recipe",407.0,412,1.2%,
pecans,6.91,0.72,0.139,0.091,0.097,usda,170182,"Nuts, pecans",691.0,691,0.0%,
pepperoni,4.94,0.44,0.04,0.227,0.0,usda,174575,"Pepperoni, beef and pork, sliced",494.0,504,2.0%,
pepperoni pizza,2.75,0.113,0.298,0.115,0.019,usda,173295,"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",275.0,282,2.5%,
pesto,3.97,0.371,0.059,0.059,0.024,usda,171582,"Sauce, pesto, CLASSICO, basil pesto, ready-to-serve",397.0,372,6.3%,
pie crust,4.89,0.298,0.484,0.053,0.013,usda,175023,"Pie crust, standard-type, dry mix, prepared, baked",489.0,501,2.5%,
pine nuts,6.73,0.681,0.133,0.137,0.037,usda,170591,"Nuts, pine nuts, dried",673.0,673,0.0%,
pineapple,0.5,0.001,0.131,0.005,0.014,usda,169124,"Pineapple, raw, all varieties",50.0,50.0,0.0%,
pistachios,5.6,0.453,0.278,0.202,0.103,usda,170185,"Nuts, pistachio nuts, dry roasted, without salt added",560.0,572,2.1%,
pita bread,2.75,0.012,0.554,0.091,0.022,usda,174915,"Bread, pita, white, enriched",275.0,275,0.0%,
pizza,2.66,0.102,0.308,0.113,0.021,usda,172040,"PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust",266.0,271,1.9%,
pizza dough,2.63,0.028,0.507,0.085,0.02,usda,172671,"Biscuits, mixed grain, refrigerated dough",263.0,263,0.0%,
pomegranate,0.83,0.012,0.187,0.017,0.04,usda,169134,"Pomegranates, raw",83.0,83.0,0.0%,
popcorn,3.87,0.044,0.779,0.127,0.145,usda,170246,"Snacks, popcorn, air-popped (Unsalted)",387.0,382,1.3%,
pork,2.42,0.141,0.0,0.271,0.0,usda,2514745,"Pork, ground, raw",242.0,228,5.8%,
pork chops,2.31,0.128,0.0,0.271,0.0,usda,167827,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",231.0,209,9.5%,
pot pies,2.0,0.105,0.21,0.061,0.012,usda,172093,"Beef Pot Pie, frozen entree, prepared",200.0,220,10.0%,
potato bread,2.66,0.033,0.491,0.085,0.027,usda,172678,"Bread, oatmeal",266.0,269,1.1%,
potato chips,5.36,0.349,0.499,0.067,0.045,usda,170649,"Snacks, potato chips, plain, unsalted",536.0,536,0.0%,
potato salad,1.43,0.069,0.178,0.028,0.012,usda,169269,"Potato salad, home-prepared",143.0,143,0.0%,
potato skins,2.08,0.072,0.348,0.042,0.037,usda,170113,"Potatoes, baked, skin only, with salt",208.0,198,4.8%,
pretzels,3.8,0.032,0.795,0.091,0.028,usda,170249,"Snacks, pretzels, hard, plain, made with enriched flour, unsalted",380.0,381,0.3%,
protein powder,3.81,0.038,0.1,0.75,0.0,usda,173167,"Beverages, ABBOTT, EAS whey protein powder",381.0,385,1.0%,
provolone cheese,3.51,0.268,0.024,0.254,0.0,usda,2647440,"Cheese, provolone, sliced",351.0,357,1.7%,
puddings,1.2,0.034,0.204,0.027,0.002,usda,168782,"Puddings, rice, ready-to-eat",120.0,108,10.0%,
pumpkin seeds,5.59,0.49,0.108,0.3,0.06,usda,2515380,"Seeds, pumpkin seeds (pepitas), raw",559.0,555,0.7%,
pumpkins,0.26,0.001,0.065,0.01,0.005,usda,168448,"Pumpkin, raw",26.0,26.0,0.0%,
quinoa,1.2,0.019,0.214,0.044,0.028,usda,168917,"Quinoa, cooked",120.0,120,0.0%,
raisin bran,3.31,0.03,0.78,0.078,0.08,usda,172996,"Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal",331.0,342,3.3%,
raisin bread,2.74,0.044,0.522,0.079,0.027,usda,172680,"Bread, raisin, enriched",274.0,274,0.0%,
raisins,2.99,0.005,0.792,0.031,0.037,usda,168166,"Raisins, seeded",299.0,296,1.0%,
raspberries,0.52,0.007,0.119,0.012,0.065,usda,167755,"Raspberries, raw",52.0,52.0,0.0%,
ravioli,1.68,0.049,0.251,0.073,0.015,usda,169036,"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",168.0,156,7.1%,
red potatoes,0.72,0.001,0.159,0.019,0.015,usda,170029,"Potatoes, red, flesh and skin, raw",72.0,70.0,2.8%,
refried beans,0.99,0.031,0.139,0.053,0.044,usda,175207,"Chili with beans, canned",99.0,103,4.0%,
relish,1.3,0.005,0.326,0.004,0.01,usda,168561,"Pickle relish, sweet",130.0,130,0.0%,
ribs,2.9,0.195,0.0,0.268,0.0,usda,173406,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, select, raw",290.0,305,5.2%,
rice cakes,3.87,0.029,0.817,0.081,0.014,usda,170250,"Snacks, rice cakes, brown rice, plain, unsalted",387.0,387,0.0%,
rice noodles,1.09,0.002,0.249,0.008,0.01,usda,168907,"Noodles, japanese, soba, cooked",109.0,99.0,9.2%,
roast beef,2.1,0.091,0.0,0.302,0.0,usda,171216,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",210.0,229,9.0%,
roast chicken,1.9,0.074,0.0,0.289,0.0,usda,173639,"Chicken, roasting, dark meat, meat only, cooked, roasted",190.0,178,6.3%,
roast turkey,1.7,0.05,0.0,0.292,0.0,usda,171095,"Turkey, fryer-roasters, meat and skin, cooked, roasted",170.0,172,1.2%,
rolls,2.93,0.057,0.509,0.095,0.024,usda,175029,"Rolls, dinner, rye",293.0,286,2.4%,
romano cheese,3.87,0.268,0.038,0.319,0.0,usda,171249,"Cheese, romano",387.0,387,0.0%,
root beer,0.41,0.0,0.107,0.0,0.0,usda,171871,"Beverages, carbonated, root beer",41.0,41.0,0.0%,
rosemary,1.31,0.059,0.207,0.033,0.143,usda,173473,"Rosemary, fresh",131.0,131,0.0%,
rum,2.31,0.0,0.0,0.0,0.0,usda,174817,"Alcoholic beverage, distilled, rum, 80 proof",231.0,231,0.0%,
rye bread,2.59,0.033,0.481,0.085,0.058,usda,172684,"Bread, rye",259.0,259,0.0%,
salad dressing,2.1,0.185,0.105,0.008,0.003,usda,171404,"Salad dressing, french dressing, reduced fat",210.0,222,5.7%,
salami,3.36,0.258,0.016,0.228,0.0,usda,172936,"Salami, cooked, beef and pork",336.0,336,0.0%,
salsa,0.36,0.002,0.075,0.014,0.015,usda,171824,"Sauce, salsa, verde, ready-to-serve",36.0,38.0,5.6%,
salt,0.0,0.0,0.0,0.0,0.0,usda,170527,"Pumpkin, canned, with salt",0.0,34.0,0.0%,
sandwich cookies,4.78,0.196,0.715,0.047,0.014,usda,172737,"Cookies, vanilla sandwich with creme filling",478.0,483,1.0%,
sandwiches,2.28,0.092,0.26,0.11,0.015,usda,170791,"ARBY'S, roast beef sandwich, classic",228.0,242,6.1%,
sardines,2.08,0.114,0.0,0.249,0.0,usda,175139,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",208.0,208,0.0%,
sauerkraut,0.19,0.001,0.043,0.009,0.029,usda,169279,"Sauerkraut, canned, solids and liquids",19.0,19.0,0.0%,
scallops,0.69,0.005,0.032,0.122,0.0,usda,174220,"Mollusks, scallop, mixed species, raw",69.0,69.0,0.0%,
scrambled eggs,1.49,0.107,0.015,0.102,0.0,usda,172187,"Egg, whole, cooked, scrambled",149.0,149,0.0%,
seeds,5.63,0.472,0.173,0.226,0.085,usda,2515380,"Seeds, pumpkin seeds (pepitas), raw",563.0,555,1.4%,
shrimp,0.99,0.003,0.009,0.209,0.0,usda,171972,"Crustaceans, shrimp, mixed species, canned",99.0,100,1.0%,
skim milk,0.35,0.002,0.05,0.034,0.0,usda,171270,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",35.0,37.0,5.7%,
smoked salmon,1.17,0.042,0.0,0.184,0.0,usda,173687,"Fish, salmon, chinook, smoked",117.0,117,0.0%,
snapper,1.0,0.014,0.0,0.203,0.0,usda,173698,"Fish, snapper, mixed species, raw",100.0,100,0.0%,
snow peas,0.42,0.002,0.076,0.028,0.026,usda,170012,"Peas, edible-podded, frozen, unprepared",42.0,42.0,0.0%,
soft serve ice creams,2.22,0.13,0.222,0.04,0.003,usda,167981,"Ice creams, french vanilla, soft-serve",222.0,222,0.0%,
sour cream,1.98,0.197,0.029,0.024,0.0,usda,171257,"Cream, sour, cultured",198.0,198,0.0%,
sourdough bread,2.74,0.035,0.509,0.089,0.022,usda,172675,"Bread, french or vienna (includes sourdough)",274.0,272,0.7%,
soy milk,0.54,0.018,0.06,0.033,0.004,usda,174277,Soy sauce made from soy and wheat (shoyu),54.0,53.0,1.9%,
soy sauce,0.53,0.001,0.049,0.081,0.008,usda,174277,Soy sauce made from soy and wheat (shoyu),53.0,53.0,0.0%,
spaghetti,1.31,0.012,0.25,0.051,0.018,usda,168912,"Spaghetti, spinach, cooked",131.0,130,0.8%,
spreads,3.49,0.3,0.16,0.035,0.005,usda,171035,"Margarine-like spread, BENECOL Light Spread",349.0,357,2.3%,
squash,0.34,0.004,0.075,0.012,0.015,usda,169298,"Squash, winter, spaghetti, raw",34.0,31.0,8.8%,
squid,0.92,0.014,0.031,0.158,0.0,usda,174223,"Mollusks, squid, mixed species, raw",92.0,92.0,0.0%,
stout beer,0.48,0.0,0.04,0.005,0.0,usda,174145,"Alcoholic beverage, beer, light, higher alcohol",48.0,46.0,4.2%,
string cheese,3.0,0.222,0.022,0.222,0.0,usda,172178,"Cheese, camembert",300.0,300,0.0%,
strudels,2.74,0.085,0.45,0.038,0.012,usda,175032,"Strudel, apple",274.0,274,0.0%,
stuffing,1.77,0.074,0.236,0.039,0.025,usda,172693,"Bread, stuffing, cornbread, dry mix, prepared",177.0,179,1.1%,
succotash,1.05,0.008,0.212,0.046,0.043,usda,169300,"Succotash, (corn and limas), raw",105.0,99.0,5.7%,
sugar,3.87,0.0,0.998,0.0,0.0,usda,169655,"Sugars, granulated",387.0,387,0.0%,
sun dried tomatoes,2.58,0.029,0.557,0.143,0.122,usda,168567,"Tomatoes, sun-dried",258.0,258,0.0%,
sundaes,2.1,0.08,0.31,0.035,0.005,usda,173275,"Fast foods, sundae, caramel",210.0,196,6.7%,
sunflower seeds,5.84,0.514,0.2,0.207,0.086,usda,170562,"Seeds, sunflower seed kernels, dried",584.0,584,0.0%,
sweet potato,0.86,0.001,0.201,0.016,0.03,usda,168485,"Sweet potato, canned, vacuum pack",86.0,91.0,5.8%,
sweet rolls,3.17,0.093,0.537,0.065,0.014,usda,174107,"Rolls, dinner, sweet",317.0,321,1.3%,
swordfish,1.44,0.048,0.0,0.237,0.0,usda,173703,"Fish, swordfish, raw",144.0,144,0.0%,
syrup,2.6,0.001,0.67,0.0,0.0,usda,169661,"Syrups, maple",260.0,260,0.0%,
taco shells,4.8,0.222,0.585,0.069,0.051,usda,175067,"Taco shells, baked, without added salt",480.0,468,2.5%,
tacos,2.26,0.107,0.183,0.114,0.025,usda,170733,"TACO BELL, Soft Taco with steak",226.0,225,0.4%,
tahini,5.95,0.536,0.215,0.17,0.093,usda,170189,"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",595.0,595,0.0%,
tamales,1.8,0.085,0.188,0.068,0.02,usda,168067,"Restaurant, Latino, tamale, pork",180.0,174,3.3%,
tea,0.01,0.0,0.003,0.0,0.0,usda,174156,"Beverages, tea, herb, brewed, chamomile",1.0,1.0,0.0%,
tempeh,1.92,0.108,0.095,0.201,0.04,usda,174272,Tempeh,192.0,192,0.0%,
thyme,1.01,0.016,0.243,0.056,0.14,usda,173470,"Thyme, fresh",101.0,101,0.0%,
tilapia,1.28,0.023,0.0,0.261,0.0,usda,175177,"Fish, tilapia, cooked, dry heat",128.0,128,0.0%,
toast,3.13,0.05,0.545,0.107,0.035,usda,172674,"Bread, egg, toasted",313.0,315,0.6%,
tortellini,2.91,0.072,0.468,0.118,0.02,usda,172094,"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",291.0,307,5.5%,
tortilla,2.37,0.059,0.42,0.063,0.036,usda,167656,Corned beef and potatoes in tortilla (Apache),237.0,224,5.5%,
tortilla chips,4.89,0.236,0.589,0.072,0.045,usda,167970,"Snacks, tortilla chips, taco-flavor",489.0,480,1.8%,
trail mix,4.62,0.289,0.44,0.137,0.038,usda,167561,"Snacks, trail mix, regular",462.0,462,0.0%,
trout,1.48,0.067,0.0,0.208,0.0,usda,175153,"Fish, trout, mixed species, raw",148.0,148,0.0%,
tuna,1.32,0.045,0.0,0.232,0.0,usda,172005,"Fish, tuna, skipjack, fresh, cooked, dry heat",132.0,132,0.0%,
tuna salad,1.87,0.096,0.093,0.159,0.003,usda,175160,"Fish, tuna salad",187.0,187,0.0%,
turkey,1.7,0.05,0.0,0.292,0.0,usda,172937,"Salami, cooked, turkey",170.0,172,1.2%,
turkey bacon,2.18,0.14,0.016,0.218,0.0,usda,173857,"Bologna, turkey",218.0,209,4.1%,
turkey breast,1.35,0.017,0.0,0.299,0.0,usda,171501,"Turkey breast, pre-basted, meat and skin, cooked, roasted",135.0,126,6.7%,
turnips,0.28,0.001,0.062,0.009,0.018,usda,170465,"Turnips, raw",28.0,28.0,0.0%,
veal,1.72,0.063,0.0,0.283,0.0,usda,175291,"Veal, ground, cooked, broiled",172.0,172,0.0%,
vegetable juice,0.22,0.001,0.047,0.006,0.006,usda,167708,"Tomato and vegetable juice, low sodium",22.0,22.0,0.0%,
vegetable oil,8.84,1.0,0.0,0.0,0.0,usda,172370,"Oil, vegetable, soybean, refined",884.0,884,0.0%,
veggie burgers,1.8,0.068,0.181,0.134,0.04,usda,170700,"BURGER KING, Vanilla Shake",180.0,168,6.7%,
vinegar,0.18,0.0,0.004,0.0,0.0,usda,172237,"Vinegar, distilled",18.0,18.0,0.0%,
vodka,2.31,0.0,0.0,0.0,0.0,usda,174815,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",231.0,231,0.0%,
wafers,4.8,0.2,0.68,0.06,0.01,usda,172736,"Cookies, sugar wafers with creme filling, regular",480.0,502,4.6%,
waffles,2.91,0.097,0.442,0.076,0.015,usda,167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",291.0,289,0.7%,
walnuts,6.54,0.652,0.137,0.152,0.067,usda,170186,"Nuts, walnuts, black, dried",654.0,619,5.4%,
water,0.0,0.0,0.0,0.0,0.0,usda,174859,"Lemonade, powder, prepared with water",0.0,14.0,0.0%,
wheat beer,0.45,0.0,0.038,0.005,0.0,usda,168746,"Alcoholic beverage, beer, regular, all",45.0,43.0,4.4%,
wheat berry,3.39,0.019,0.713,0.131,0.125,usda,169721,"Wheat, durum",339.0,339,0.0%,
wheat bread,2.47,0.036,0.462,0.098,0.06,usda,174091,"Bread, french or vienna, whole wheat",247.0,239,3.2%,
white beans,1.39,0.006,0.251,0.094,0.063,usda,175203,"Beans, white, mature seeds, cooked, boiled, without salt",139.0,139,0.0%,
white bread,2.66,0.032,0.491,0.089,0.027,usda,172818,"Bread, white, commercially prepared, low sodium, no salt",266.0,267,0.4%,
white rice,1.3,0.003,0.281,0.027,0.004,usda,168880,"Rice, white, medium-grain, enriched, cooked",130.0,130,0.0%,
white wine,0.82,0.0,0.027,0.001,0.0,usda,174837,"Alcoholic beverage, wine, table, white",82.0,82.0,0.0%,
whole wheat bread,2.47,0.036,0.434,0.107,0.065,usda,174091,"Bread, french or vienna, whole wheat",247.0,239,3.2%,
wild rice,1.01,0.003,0.214,0.04,0.018,usda,168897,"Wild rice, cooked",101.0,101,0.0%,
wine,0.83,0.0,0.027,0.001,0.0,usda,171908,"Alcoholic beverages, wine, rose",83.0,83.0,0.0%,
yam,1.18,0.002,0.278,0.015,0.04,usda,170072,"Yam, cooked, boiled, drained, or baked, without salt",118.0,116,1.7%,
zucchini,0.17,0.003,0.031,0.012,0.01,usda,168470,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",17.0,17.0,0.0%,
